date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,product_category,age,gender,income_bracket,delivery_time_days,stock_level,total_weighted_landing_price
15-07-2024,Hyderabad,3484733,597755,36660,5,217.24,54.73,386935,Books,27,Female,Low,7,681,1788.05
21-04-2024,Chennai,1412894,359677,39899,3,60.62,154.16,319514,Grocery,57,Female,Middle,7,846,4240.17
30-04-2025,Mumbai,9347555,489068,27629,4,499.58,143.34,146933,Books,34,Blanks,Low,6,495,906.74
29-04-2024,Bengaluru,7409098,909328,77553,1,266.67,140.59,544472,Clothing,31,Blanks,Low,8,682,2314.64
28-11-2024,Chennai,5624535,486057,48043,2,218.33,48.15,822703,Clothing,22,Female,Low,7,13,2640.19
06-02-2024,Hyderabad,4469492,345431,82731,6,891.92,19.8,815897,Home,68,Male,High,3,237,4559.73
20-10-2024,Chennai,9562890,395835,44958,2,343.1,88.34,194352,Grocery,29,Blanks,Low,8,958,2907.11
17-09-2023,Mumbai,6937091,505599,10126,5,284.3,116.06,103461,Clothing,47,Male,Low,9,269,3178.12
13-08-2024,Bengaluru,6132882,184516,92228,4,605.95,46.47,836927,Clothing,32,Blanks,Low,6,364,1658.05
30-07-2024,Mumbai,1753342,277450,55634,7,697.91,65.07,182086,Clothing,55,Blanks,Middle,5,584,792.59
13-11-2023,Chennai,7865293,553677,27088,9,455.89,26.71,926951,Grocery,28,Male,High,6,942,2171.46
26-07-2024,Delhi,6334694,246021,93069,5,468.62,101.94,799876,Books,46,Blanks,Middle,9,88,2757.42
11-02-2024,Delhi,3013905,273669,54561,6,736.35,169.06,782935,Electronics,62,Male,High,9,461,4860.82
08-09-2024,Bengaluru,1733081,617764,61512,8,949.27,159.47,369961,Home,63,Female,Low,5,380,676.09
27-11-2023,Bengaluru,4365334,332285,20341,9,410.33,160.81,520559,Books,40,Female,Middle,4,346,3104.87
11-02-2024,Mumbai,5616871,667907,10716,7,232.63,2.59,850540,Grocery,35,Male,High,3,818,273.66
24-08-2024,Mumbai,3669542,438860,51177,5,122.76,182.87,297074,Home,66,Female,Low,3,908,3514.07
06-07-2024,Mumbai,3671037,114312,42127,5,323.66,58.83,505545,Electronics,42,Male,Low,7,693,931.66
09-04-2025,Kolkata,6814254,691267,61648,1,421.42,69.99,317597,Electronics,41,Male,Low,1,347,235.74
17-03-2024,Bengaluru,9715441,195916,42532,2,838.77,129.13,406879,Clothing,44,Blanks,Middle,5,217,1590.42
04-04-2024,Bengaluru,5986314,491514,74849,1,472.32,177.46,767398,Home,22,Female,High,3,187,3532.67
20-01-2024,Hyderabad,7522000,384131,72223,4,980.64,33.29,129526,Books,56,Blanks,Low,1,429,713.65
20-09-2023,Chennai,4349698,251873,36295,1,230.56,146.82,413993,Home,45,Male,High,1,730,3955.2
10-05-2024,Chennai,9138865,721175,98225,1,400.2,113.17,976615,Grocery,22,Blanks,High,4,484,4706.22
23-02-2025,Chennai,6839753,369615,96230,7,442.85,163.01,296656,Grocery,21,Blanks,Middle,9,111,4786.71
15-01-2024,Hyderabad,4229197,198994,92423,6,79.56,24.66,532456,Clothing,28,Female,Middle,9,823,3924.3
01-12-2024,Chennai,9993062,699272,61407,2,457.96,92.98,760880,Books,33,Female,High,9,565,1799.89
10-04-2025,Delhi,5926855,137886,72595,4,896.45,19.77,356964,Electronics,48,Male,High,2,290,848.06
31-03-2024,Hyderabad,6300225,946545,32192,5,596.93,53.66,505925,Grocery,18,Blanks,High,3,622,160.09
17-12-2024,Hyderabad,9166920,593123,51497,2,529.57,42.78,253098,Clothing,38,Female,Middle,9,511,959.01
15-03-2024,Bengaluru,5808349,948845,31301,8,966.55,109.5,441456,Books,61,Male,Middle,8,755,2663.54
26-02-2025,Chennai,7057631,525648,20830,8,843.42,159.07,437576,Books,31,Blanks,High,4,875,4488.86
06-08-2024,Hyderabad,9533031,102632,81547,7,376.55,152.47,627508,Grocery,63,Female,Middle,7,501,2832.37
12-03-2024,Mumbai,9719380,214876,21062,2,988.13,134.64,419797,Clothing,31,Female,Middle,3,83,2197.54
16-09-2023,Delhi,7642100,648944,98255,2,241.73,162.4,403098,Grocery,67,Male,High,1,420,2856.62
14-01-2025,Mumbai,7950871,521188,45215,1,520.8,125.36,816335,Electronics,38,Female,High,9,245,1486.8
05-04-2025,Chennai,2649286,222625,28266,2,916.16,108.78,410034,Home,42,Male,High,6,853,337.28
10-04-2024,Delhi,1986578,585537,76890,6,609.03,176.62,658608,Clothing,61,Male,Low,1,163,4082.8
23-10-2023,Bengaluru,5655595,537410,43512,7,844.18,127.02,784172,Clothing,26,Female,Middle,4,791,2985.86
27-04-2024,Kolkata,4925270,240322,37433,3,117.73,189.62,978831,Books,33,Male,Low,9,73,891.54
14-08-2024,Kolkata,1928126,791646,64208,1,408.23,49.08,523263,Home,18,Male,Low,7,289,1596.6
05-12-2023,Mumbai,1987855,640359,59228,4,347.14,159.22,504535,Home,26,Male,Middle,3,443,1178.9
25-07-2023,Hyderabad,7436745,222704,56320,3,441.85,74.49,358487,Books,22,Blanks,Low,5,967,2862.97
24-04-2025,Chennai,4618632,117678,82124,7,280.46,178.12,282908,Books,29,Female,Low,6,740,2716.75
12-09-2024,Hyderabad,5320594,886894,82226,1,778.23,123.9,697087,Clothing,43,Blanks,Middle,4,443,3586.24
19-12-2023,Kolkata,8446265,229303,90791,2,415.3,25.96,234636,Grocery,54,Female,Low,6,0,1727.91
29-07-2023,Mumbai,6461222,632602,63708,1,778.83,49.95,100112,Grocery,32,Male,Middle,6,544,4906.16
18-04-2025,Bengaluru,4814541,365203,88666,6,220.59,66.71,662170,Home,50,Blanks,Middle,6,880,4557.25
23-04-2025,Mumbai,1932450,898519,87167,6,781.45,14.7,901626,Clothing,41,Blanks,Middle,5,678,4097.29
17-02-2024,Mumbai,6557851,702313,34747,9,98.27,126.68,707669,Books,34,Female,High,5,961,3187.68
23-12-2023,Kolkata,3789889,709487,57645,4,531.8,141.49,223764,Clothing,34,Blanks,Low,2,641,4210.49
12-10-2024,Chennai,7244303,304736,53650,3,665.41,47.49,437545,Electronics,25,Blanks,High,7,295,2954.1
25-08-2023,Mumbai,1916623,154004,94926,5,991.77,58.11,524251,Electronics,30,Female,High,3,119,3196.87
01-07-2024,Mumbai,6747550,232605,73403,6,207.05,22.17,598983,Home,52,Male,Low,1,446,1320.77
20-01-2025,Kolkata,2701908,299499,98467,5,508.64,160.2,605546,Books,57,Male,Middle,7,506,2631.96
23-05-2024,Bengaluru,8617026,352375,63177,6,925.37,111.41,747518,Electronics,44,Blanks,High,7,802,4026.21
18-11-2023,Chennai,4504197,768545,92399,7,844.24,10.05,111023,Home,39,Male,High,7,59,3038.13
27-08-2024,Mumbai,6596918,216045,61240,1,157.09,115.72,520789,Grocery,50,Male,Low,8,528,931.95
17-12-2023,Delhi,5171294,883903,30793,7,847.79,186.15,202327,Grocery,22,Blanks,Middle,8,182,3354.12
17-11-2024,Mumbai,2839871,655048,14683,1,115.72,96.55,342010,Home,41,Female,Low,8,894,1134.97
17-06-2024,Chennai,9673999,963468,28306,4,912.36,106.13,958184,Grocery,31,Male,High,1,869,3497.2
28-09-2023,Bengaluru,1514937,935676,12847,9,237.37,31.17,553985,Books,59,Male,Low,1,689,3056.13
28-03-2024,Mumbai,2841906,718813,42156,1,818.25,44.28,646201,Home,66,Blanks,High,9,430,2822.87
15-03-2025,Kolkata,1874523,679799,58887,5,975.71,29.54,318003,Home,22,Blanks,Middle,2,735,364.27
12-11-2024,Bengaluru,4827561,664825,67704,3,573.81,189.77,610942,Clothing,62,Blanks,Low,3,772,4953.15
13-03-2025,Hyderabad,7042846,130833,93713,6,702.84,69.91,224079,Grocery,37,Male,High,9,823,1715.89
10-07-2024,Bengaluru,8464530,794079,66082,9,365.1,40.27,539702,Home,63,Female,Low,9,823,1531.63
01-04-2025,Delhi,5850864,861759,46116,5,319.56,129.73,485926,Home,65,Female,High,3,21,4194.36
30-07-2023,Bengaluru,1582188,154790,64117,9,273.87,193.72,395066,Books,33,Female,Middle,7,103,2774.38
17-07-2023,Mumbai,9492509,412352,18119,4,363.25,81.03,642892,Clothing,43,Blanks,High,4,206,1079.37
29-01-2024,Hyderabad,7135258,267068,23693,2,852.68,107.99,552775,Books,18,Male,High,5,433,2703.11
02-11-2023,Mumbai,4913794,591591,93546,8,582.16,183.68,385006,Books,68,Male,Low,7,913,3116
24-01-2025,Chennai,7087896,221369,21428,2,736.79,44.51,557489,Books,61,Female,Middle,1,342,2461.14
28-10-2024,Bengaluru,7761495,472690,16285,4,229.72,149.13,436259,Books,47,Female,Low,7,837,1632.43
25-04-2024,Bengaluru,2814999,562673,60522,2,489.81,89.41,500581,Books,52,Female,High,9,569,2370.9
07-09-2023,Hyderabad,3323092,911964,95389,4,463.07,35.57,215671,Clothing,57,Blanks,High,9,627,3001.89
14-12-2024,Mumbai,1633104,467991,39873,3,717.38,119.66,289419,Clothing,23,Blanks,High,1,591,3554.3
26-09-2023,Chennai,8588572,308031,36316,8,678.36,175.09,884541,Grocery,18,Blanks,High,1,794,4055.74
16-01-2025,Hyderabad,2598208,521802,12301,5,970.78,151.72,688460,Books,68,Male,Low,5,887,2497.82
23-01-2024,Mumbai,8663939,341657,93546,1,141.85,159.55,593071,Grocery,65,Male,Middle,4,424,2006.58
14-05-2024,Kolkata,7542831,867565,99447,7,173.23,55.41,535297,Books,50,Female,Middle,1,826,1352.42
05-05-2024,Delhi,3501450,179159,10468,3,514.88,85.01,258802,Books,42,Female,Low,3,64,3225.2
18-07-2023,Bengaluru,2987223,556932,35816,1,741.68,106.23,197017,Clothing,57,Male,Low,4,452,1394.56
28-09-2023,Kolkata,3362090,588686,78608,8,771.01,120.92,663645,Grocery,39,Female,High,9,250,4819.21
09-12-2024,Mumbai,1837928,914657,99333,8,865.4,45.3,736813,Clothing,32,Male,High,9,751,452.11
15-04-2025,Kolkata,9329760,957632,49854,4,706.06,157.69,278345,Clothing,29,Male,Middle,5,865,1242.93
15-06-2024,Delhi,5869189,205942,62170,3,665.19,104.83,543153,Books,25,Female,Middle,1,979,3444.28
10-11-2023,Chennai,8745761,913472,31728,1,565.48,171.28,698049,Electronics,43,Female,High,2,451,4168.69
16-07-2024,Chennai,8321859,239847,33857,7,922.51,89.23,946900,Clothing,45,Blanks,Middle,3,471,3386.17
29-08-2024,Delhi,7656153,106941,57761,4,501.34,53.77,389712,Clothing,28,Female,Low,7,584,812.95
05-05-2024,Bengaluru,9649436,269670,29908,5,674.58,182.05,338944,Electronics,34,Blanks,Middle,2,742,1481.51
06-06-2024,Bengaluru,9076341,521869,60439,3,93.44,57.78,642610,Home,49,Blanks,Low,5,166,824.9
16-11-2023,Bengaluru,5832217,286216,71326,7,428.02,31.17,582374,Home,38,Female,Low,7,326,1870.36
22-04-2024,Kolkata,8985884,323961,59467,3,482.26,187.79,556234,Clothing,41,Female,Middle,9,329,1707.72
29-02-2024,Chennai,8106791,425959,63786,3,186.1,149.08,512335,Electronics,50,Blanks,Middle,8,962,3709.33
12-03-2024,Kolkata,4077513,567376,46574,8,175.66,183.06,760382,Electronics,66,Male,Low,4,256,4797.96
08-10-2023,Mumbai,4827635,687035,35193,4,63.03,173.12,963723,Grocery,35,Blanks,High,4,889,869.3
28-03-2025,Chennai,2380636,211721,75180,7,720.43,54.75,336476,Clothing,21,Blanks,High,2,542,3130.13
17-10-2024,Chennai,8871659,858313,66514,9,616.64,62.76,301514,Home,43,Male,Middle,4,414,1746.09
01-12-2024,Mumbai,1084957,110047,17548,8,403.77,51.78,945948,Clothing,47,Female,Middle,4,499,1664.83
20-09-2024,Chennai,5366528,496717,57649,2,318.52,178.77,217633,Electronics,60,Male,Low,4,260,2706.51
02-11-2024,Kolkata,1467007,807696,64797,5,175.68,50.09,483243,Home,31,Female,High,1,124,2508.73
25-08-2023,Chennai,1256807,303422,58917,4,122.55,32.52,791393,Home,65,Female,High,6,488,2864.23
29-11-2024,Hyderabad,8040169,254420,84808,5,671.46,35.36,896294,Clothing,40,Blanks,Low,7,69,1670.7
12-10-2024,Chennai,1380992,712726,24628,5,407.59,135.72,527803,Clothing,18,Male,Middle,2,271,4887.95
15-10-2023,Hyderabad,4777594,212667,54602,4,752.54,168.28,435926,Clothing,44,Female,Middle,6,825,4461.04
21-08-2024,Chennai,6268808,484933,70290,1,738.88,25.24,681417,Electronics,53,Female,Low,5,413,810.83
20-12-2023,Bengaluru,2501906,665415,20490,2,317.67,61.35,854594,Clothing,44,Female,High,3,138,3421.4
21-10-2024,Mumbai,5689229,477514,22963,5,617.03,103.43,926080,Electronics,41,Female,Middle,1,197,1800.04
26-06-2024,Mumbai,7162380,235569,62440,2,126.14,29.6,173200,Clothing,44,Blanks,High,6,182,198.67
13-01-2024,Hyderabad,9108133,467116,89011,4,913.42,173.59,348162,Grocery,23,Blanks,Low,6,938,4777.93
06-07-2023,Kolkata,9967256,995877,73338,7,299.71,159.93,659776,Home,67,Male,Low,8,705,4946.15
13-08-2024,Bengaluru,3401244,959263,78385,7,588.54,168.95,459093,Home,36,Blanks,High,3,333,1406.38
21-10-2024,Hyderabad,1852354,869604,13237,1,817.18,197.24,581320,Grocery,50,Female,High,8,928,3647.93
09-11-2023,Mumbai,9505184,963528,34063,4,258.27,186.27,866539,Books,35,Blanks,Middle,1,888,2193.17
18-10-2023,Hyderabad,5716897,940170,94933,5,190.16,48.63,497699,Electronics,20,Blanks,Low,6,608,277.52
28-02-2025,Delhi,8788403,327131,56365,3,135.32,113.98,627232,Home,47,Female,Middle,7,451,2541.02
25-02-2024,Mumbai,4262181,119438,12702,9,392.15,115.36,735876,Home,27,Female,Low,6,924,4370.98
28-04-2024,Kolkata,4487307,676032,47868,7,910.02,156.02,872058,Home,41,Male,High,8,116,767.78
22-01-2024,Kolkata,2835420,246049,34294,3,542.06,92.04,619968,Home,51,Blanks,Middle,3,137,4867.67
01-11-2023,Chennai,5898814,202285,74354,6,754.79,171.73,335376,Home,53,Blanks,High,2,165,4108.13
04-12-2024,Bengaluru,6007806,977287,25306,4,310.72,23.19,530150,Books,27,Female,Low,2,891,784.07
11-01-2024,Delhi,9280238,922108,64603,8,331.48,2.41,739654,Electronics,21,Female,Middle,6,631,2558.41
06-01-2024,Kolkata,7623563,611426,13590,5,760.46,160.12,981616,Home,49,Female,High,8,516,2526.83
17-12-2024,Hyderabad,3106504,122826,58282,1,383.47,70.42,505798,Home,63,Blanks,High,5,881,1982.58
30-04-2025,Chennai,5935973,241996,54530,5,394.71,133.27,446393,Home,43,Female,High,9,249,717.96
17-07-2023,Delhi,2488344,535419,90628,7,227.45,158.19,678593,Home,30,Female,Low,2,851,4098.56
02-08-2023,Hyderabad,6275390,137980,87901,6,692.19,158.36,826903,Electronics,55,Male,Low,5,631,3145.84
22-12-2024,Mumbai,5693045,474745,36285,5,172.95,169.79,946660,Books,64,Blanks,Low,2,288,1533.26
10-10-2024,Hyderabad,2486368,157402,77689,4,56.48,1.19,197105,Electronics,54,Blanks,Middle,7,309,3632.13
19-04-2024,Hyderabad,1563300,588864,59679,5,575.85,50.62,861051,Clothing,28,Male,Middle,5,382,230.96
07-09-2023,Mumbai,3817190,736267,70687,6,262.95,2.23,107892,Grocery,18,Female,Low,8,107,2453.8
29-07-2024,Delhi,2083240,252883,51203,7,260.29,128.12,804145,Electronics,20,Female,Middle,8,36,1504.07
13-11-2023,Chennai,3463362,309627,87050,6,647.93,183.15,923945,Grocery,20,Male,High,8,727,2876.76
30-08-2023,Delhi,4700444,344499,34453,3,632.21,193.51,332095,Books,60,Male,Middle,1,897,4999.81
28-10-2024,Hyderabad,1716949,690688,77036,1,171.22,164.23,111353,Electronics,48,Female,High,1,555,1479.28
21-09-2023,Bengaluru,8022154,784088,37265,5,223.39,111.5,716151,Books,56,Male,Low,1,557,4146.65
29-11-2023,Delhi,7857132,422286,62131,4,57.88,104.5,608833,Grocery,68,Male,Middle,2,790,4007.08
24-09-2023,Bengaluru,4070648,351684,24604,5,871.98,144.49,344621,Home,69,Blanks,High,3,790,1283.93
30-04-2025,Chennai,6050636,936959,20732,9,941.43,103.39,900378,Home,37,Blanks,High,5,183,3911.26
09-08-2023,Chennai,4382937,288310,50392,4,327.54,185.14,324753,Books,45,Blanks,High,6,895,2554.41
26-07-2024,Hyderabad,9658721,713803,84172,2,950.08,78.36,222962,Electronics,26,Blanks,High,9,204,4217.45
08-01-2024,Chennai,3361346,103929,98255,3,605.99,65.59,267229,Books,47,Female,Low,3,256,4821.13
10-11-2024,Kolkata,1080787,595968,21905,1,82.68,55.05,926780,Clothing,41,Blanks,Middle,3,838,3078.22
28-12-2023,Delhi,7243464,693631,35817,6,193.11,9.12,996285,Clothing,36,Blanks,High,6,56,3274.92
04-03-2024,Hyderabad,8803698,414158,63209,2,193.04,128.78,509890,Books,45,Male,High,6,130,4119.58
17-08-2024,Chennai,2593146,909187,57017,7,414.99,91.43,695149,Electronics,38,Blanks,Middle,4,634,4035.72
04-07-2024,Hyderabad,7671359,503052,56985,5,763.52,141.3,231110,Grocery,67,Blanks,Middle,7,216,3526.55
06-04-2025,Mumbai,9517857,452726,36134,7,518.37,174.68,694614,Electronics,53,Male,Middle,7,708,3019.38
15-10-2024,Hyderabad,9305217,138513,50481,3,64.75,112.65,176359,Home,58,Blanks,Low,4,569,3606.12
11-11-2023,Delhi,1714869,750505,41884,7,760.2,58.1,940150,Home,65,Male,Middle,1,914,3447.52
16-09-2023,Mumbai,3088487,293432,46792,6,167.93,38.43,288172,Electronics,50,Female,Low,3,50,1530.31
31-10-2024,Hyderabad,6144201,164760,67752,8,492.36,148.04,729204,Clothing,51,Female,High,7,314,4138.2
21-12-2023,Hyderabad,8645467,844960,23094,9,517.9,165.36,411643,Clothing,34,Male,High,1,66,100.92
06-09-2023,Mumbai,8405428,206632,61915,2,458.24,59.68,356318,Home,40,Male,High,9,466,847.97
25-04-2024,Delhi,2122984,321894,39626,6,661.67,85.29,591922,Home,56,Blanks,High,9,822,3990.86
16-10-2024,Mumbai,2716438,226915,96768,3,68.35,75.94,225964,Books,65,Male,Low,5,97,2231.41
10-10-2023,Mumbai,2084862,846690,78014,9,174.94,58.57,459025,Electronics,43,Male,Middle,5,871,1439.72
05-04-2025,Chennai,3799436,512350,68110,4,810.11,132.23,655813,Electronics,44,Female,Low,1,965,3978.25
09-06-2024,Mumbai,1715102,742926,74936,2,261.32,134.18,793656,Electronics,27,Male,High,8,316,1515.53
24-08-2024,Delhi,3163283,776780,15565,3,696.5,92.08,319486,Grocery,53,Male,Middle,5,71,4286.39
29-03-2025,Delhi,9994610,877038,56116,7,834.53,151.53,748626,Clothing,34,Female,Middle,7,866,4808.36
12-10-2023,Hyderabad,6415165,892336,21640,8,303.8,127.98,602755,Books,23,Female,High,5,535,852.37
08-07-2024,Mumbai,4826725,820016,63858,5,654.04,191.2,612032,Books,66,Blanks,Low,2,721,4529.38
28-02-2024,Chennai,3855750,657065,31864,4,777.75,133.01,957999,Electronics,28,Blanks,High,9,724,1722.86
30-12-2023,Delhi,4955098,759888,41082,9,398.36,60.71,744667,Electronics,67,Blanks,Middle,2,385,3167.63
27-07-2024,Delhi,3224917,390477,26538,6,116.85,177.67,252707,Grocery,66,Female,Middle,8,223,917.18
11-07-2024,Kolkata,7033491,866577,87925,3,974.68,27.33,618024,Grocery,51,Male,Low,4,663,4049.87
04-10-2024,Delhi,1576050,951572,97712,1,313.31,44.78,879066,Books,60,Blanks,High,7,83,3490.54
10-12-2024,Hyderabad,4133350,925402,60888,6,594.78,93.29,896503,Books,26,Female,High,6,3,2411.01
17-02-2025,Mumbai,5606778,590914,96995,4,396.93,181.41,423935,Books,33,Blanks,Middle,1,466,842.61
10-09-2024,Hyderabad,6461928,923511,80891,8,903,170.47,816732,Clothing,26,Male,Middle,2,79,4455.48
14-10-2024,Chennai,8813403,641572,30169,3,231.13,15.52,290230,Home,36,Female,High,8,952,2152.13
13-08-2024,Kolkata,8379870,691728,98730,2,743.81,124.53,701480,Grocery,48,Female,Low,9,888,1316.72
